Görüş,Durum
sakin almayin aşağıdaki linkte detaylı olarak yazdım konu tüketici hakem heyetinde sonucu bekliyorum,Olumsuz
olumlu yönleri süpürgenin etiketinde fransa üretimi olduğu görülüyor zaten ilk bakışta avrupa kalitesi kendini gösteriyor çekiş gücü gayet iyi,Olumlu
iki günde kargo geldi fiyatına göre idare eder,Olumlu
ürün iyi kargo hızlıydı 1 gün içinde geldi teşekkür ederim,Olumlu
ücrete fazla bişey beklemeyin bir harfe 1 kere basıyorum 4 5tane çıkıyor falan,Olumsuz
mouse kullanılmış olarak geldi sinirimden bilgisayara takıp denemedim bile klavye yi falan,Olumsuz
urun hakkinda hic bir fikrim yok cunku sagolsin surat kargo dagitima cikarmiyor 1 haftadir urunu magaza kadar ilgisiz olunabilirse kadar ilgisiz sizlere tavsiyem urunu alacaksaniz baska bir magazadan almaniz,Olumsuz
ürün performans güzel ürününde deforme mevcut,Olumsuz
ürün birçok konudan iyi çekişi kuvvetli takılan uca göre değişmekle birlikte halıda hareket ettirmek zor diyebilirim aparat çeşitliliği yeterli hortum kablo uzunlukları yeterli boyut bakımından yer kaplamıyor ağırlık bakımından ağır değil torbasız olması avantaj haznede saçlara karışan tozun temizlenmesi hazne çıkarıldığında dışarıda toz olması dezavantajları var biraz kullanım hatasından kaynaklı sıkıntı zamanla insan öğreniyor hortumunun boyunun değişebiliyor olması aparatlar pratik özellikle bulunması özellikle dengi ürünler 1000 tl civarıyken 600 tl civarına alınabilir olmasıyla tavsiye edebileceğim bir ürün,Olumlu
süpürürken kafası yere temas etmiyor havada kalıyor çek im gücü yeterli değil,Olumsuz
olumsuz yönleri kısa programda yıkama yaptığımda plastik kokusu var makinanın etrafı ısınıyor korkutucu rahatsız edici kısa programı kullanmıyorum çi daima ıslak kurumuyor,Olumsuz
avantajlar fiyat performans ürünü ergonomik uzun ömürlü br dezavantajlar su haznesi plastik çözümü mevcut br ürünü yeni evleneceğimizden dolayı çeyiz aldık an yolda plastik çelik çaycı arasında git gel yaşadık ancak marka güvenilirliği uygun fiyat mediamarkt bize fırsatı sundu kireç konusunda sıkıntı yaşayan kullanıcılar nacizane bir tavsiyede bulunmak istiyorum ürünün su haznesinin plastik olmasının önüne geçmek haznenin içine kullanılmamış sıcak suda temizlenmiş bir bulaşık teli atıyorsunuz durum plastik kokusunun önüne geçecek hemde ülkemizdeki kireçli suların cihazda kireç tutmasına izin vermeyecek güzel lezzetli çaylar içmek dileğiyle,Olumlu
ekim başında aldık bir sorun yaşamadık ürün gayet güzel sessiz kargo şirketi 4 cü kata kadar çıkardı memnunuz,Olumlu
ürün güzel fakat bir zamanında gelmiş olsaymış iyi olacakmış,Olumsuz
ben fazla yorum yapmayı sevmiyorum sırf alacak olanlara iyi araştırlamalarını tavsiye etmek yazıyorum ben cihazı önceki tp link 722 zayıf aldım dahada berbat çıktı listede bir sürü ağ bulmasına rağmen bağlanamıyo bağlansada hız düşük bilginize,Olumsuz
i nsanları kandırıyorlar makina bir süre kullandıktan sonra ilk günlerdeki çekmemeye başladı helede filtrelerini süpürmede temizlemezsek çekmiyor kimseye tavsiye etmiyorum bir rowenta ürünü almam,Olumsuz
klavye çalışıyor fakat mouse bozuk çıktı yaptıysam çalışmıyor ayrıca hediye mouse pad kat kat kırışmış şlevselliğini kaybetmiş ayrıca mouse pad göndermeseniz iyiymiş hayatımda kadar dandik görmedim ciddi anlamda parasını haketmiyor sırf klavye lazım iade etmedim kesinlikle ürünü mağazayı önermiyorum hayal kırıklığı,Olumsuz
kötü resimde görüldügü değil ufacık ses desen yok paranızı çöpe atmayın,Olumsuz
olumlu yönleri eski bir model olduğunun farkındayım fiyatını kadar uygun görünce indirimde dayanamadım aldım sesi tahmin edersiniz yüksek eski makinelerin çekim gücü gerçekmiş eskiden sanırım eski tip ağızlıklarından dolayı deliği kocaman olduğu tozu saçı şeyi yutuyor memnunum karlı bir alım işlemiydi,Olumlu
ürün yorumlarını okuyarak karar verdik pişman olmadık şükür kaliteli şık bir ürün çekim gücü yazılanlar kadar iyi almak isteyenlere tavsiye edilir aynı markanın çaycısını aldık memnun kaldık,Olumlu
güzel gözüktüğü herkese tavsiye ederim düşünmeden alın,Olumlu
ürün sağlam geldi özenle paketlenmiş kullanmadım henüz ancak kontrol ettiğimde malzeme kalitesine on üzerinden 6 5 veririm hertürlü iş görür görünüyor,Olumlu
servis kurulumu parayla yaptı buzdolabı terleme yapıyor,Olumsuz
olumsuz yönleri genpa garantili diyorlar genpa dan sorguladigimizda genpa satisli değil diyor durumla karşılaşan varmı,Olumsuz
ürünü alalı yaklaşık bir sene oluyor hiçbir şikayetimiz yok memnunuz gönül rahatlığıyla alınabilir,Olumlu
tasarımını yapan ekibin içindeydim ürün fiyata göre iyi,Olumlu
urunde 5g baglanti yok bunun sorun olmayacagini dusunmustum 2 4 yayini cok kotu cekim gucu cok kinci evim icin almistim halihazirda asusun uc antenli ayni seviye bir modemini kullaniyorum onda 5g var ayni odadayken avantaj bunda yasadigim kopma sorununu digerinde bir kere bile yasamadim leri seviye ayarlarini yapmama ragmen modemin performansi inanilmaz kotu cekmiyor kopuyor nternetin hizi diger modemin sagladigina oranla 25 vs 32 dusuk router olarak kullanmak icin pahali magaza urun cok kotuydu tavsiye etmiyorum uc antenlisini tavsiye ederim fiyatlari ayni,Olumsuz
arkadşalar yorumlara bakarak kararsız kaldım 2 tane birden aldım fakat beklediğim olmadı sık bağlantı kopması oluyor durduk yere bağlantı kopunca saat 00 00 gözüküyor tekrar bağlayacaksın yada şarja takacaksın düzelsin,Olumsuz
ürün portatif güzel malesef kısmen işlevi yok,Olumsuz
ürün tertemiz geldi ilk günler sorunsuz çalıştı ancak 3 günden sonra çakmaklık kafasına göre çalışıyor genelde kibritle yakmak durumundayız,Olumsuz
60 hz monitöru asıl fiyatına indirim adı altında satio indirim avcıları yine avladigini zannediyo,Olumsuz
ürün fiyatina gore gayet güzel 1500 watt olması cok iyi,Olumlu
olumsuz yönleri arkadaşlar ürün elime geçmedi yüzden diyemiyorum fakat aynı gün kargo yada tl ucuz satıcıyı seçmek isterseniz bilinki ürün aynı gün kargo yapılmadığı mesajlarınıza cevapta verilmiyor unutmayınki hizmeti iyi sunabilmek aynı gün kargo yapmayı tercih eden diğer satıcıların hakkını yemiş olursunuz,Olumsuz
ağır hasarlı ürün geldi,Olumsuz
fiyatına göre kullanışlı,Olumlu
olumlu yönleri üründen gayet memnun kaldım emeği geçen herkese teşekkür ederim olumsuz yönleri olumsuz bir durum yok,Olumlu
27 kasım aldîgım ürün 6 aralık oldu hala teslim almadık soruyordu uz düşünüyorsunuz önce ürünü bir teslim edin canım sıkkın,Olumsuz
urun guzel cekim gucu iyi ancak ses acayip,Olumlu
fiyatna göre iyi bir ürün hızlı kargo kolay kurulum,Olumlu
piyasaya gore cok uygun fiyata aldim 1 sene olmak uzere hicbir problemi yok tesekkur ederiz,Olumlu
gelmediki gelmeyen ürünün nesini yazayım,Olumsuz
tavsiye etmiyorum etler yapışıyor balıkları çevirmek bile mümkün olmuyor,Olumsuz
i ade ettim beğenmedim,Olumsuz
fiyatinin ustunde bir makina bence gunluk kullanim icin gayet guzel bir urun cok memnun oldugumu belirtmek isterim abartilacak bir ses durumu yok izmire olan hizli kargo icin kargonun geldigi gun hemen gelen servis icin cok tskr ederim,Olumlu
slience force serisinden sevdigim ürün olabilir ürün hafif evin icinde dolasirken hic zorlamıyor beni kolayca tasıyorum sessiz calısması zaten ürünün hakkını veren ozellıklerden saat kac olursa olsun utuyu calıstırmam sıkıntı olmuyor emiş gücü harika zorlandıgım halılarda bile cok iyi bir performansı var severek kullanıyorum,Olumlu
gayet guzel herseyi cok rahat çekiyor,Olumlu
kaliteli görüntüsü güzel teşekkürler,Olumlu
ürün su kaynatma bölümü ağız kısmında hafif darbe vardı içe çöküktü sanırım fabrikasyon hatası hızlı gönderldi kutusu güzel paketlenmişti ereyonda satıcısından almıştım hafif bi görüntü bozukluğu die geri iade etmeyle uğraşmadım ereyon satıcısından almayın derim ürün gayet güzel kullanışlı şık,Olumlu
vantilatörün kafası kırık geldi kargo paketi iyi muhafaza edilmemiş yine allahtan çalıştırabildim,Olumsuz
güzel bir ürün ailecek cok sevdik,Olumlu
teşekkürler trendyol aras kargo teşekürler süper bir ürünü,Olumlu
bir üst modelini almak konusunda oldukça kararsız kalmıştım ancak aldığım günden yana oldukça memnunum arka kısmındaki kamera performansı yüksek neredeyse gözümle gördüğüme yakın görüntüler elde edebiliyorum aynı zamanda yüksek çözünürlükte fotoğraf çektiği içinde fotoğrafları büyüttüğümde hiçbir bozulma yaşamıyorum ram işlemci kapasitesi yüksek olduğu güncel oyunları rahatlıkla oynayabiliyorum,Olumlu
amazzondan ilk alışverişimdi biraz korkarak sipariş verdim memnun kaldım ürün sipariş etmeden önce yorumları okudum benimde yorumum faydalı olsun yazmak istedim tam istedigim geldi bir sorun hasar yok üründe malzemeler eksiksiz gelmiş koruyucu çizilmeyi önleyici bir aparatta gönderilmiş faturasıda garanti belgesi var ben begendim sıkıntısız bir alışveriş teşekkürler,Olumlu
şık bir ürün fakat 15 m2 nin üzerindeki mekanları serinletmesi oldukça zor 25 m2 lik salona taktık yeterli derecede sogutmuyor ayrıca il taktığımızda yalpalama sorunu oluştu müşteri hizmetleri görüştük pervanelerin ana gövdeye bağlandığı metal aparatların eğik olduğu kanaatine vardık sağolsunlar ikiletmeden ücretsiz kargo iki tane gönderdiler aparatları değiştirince sorun çözüldü 15m2 altı mekanlara tavsiye edilir,Olumsuz
ses kalitesi xiaomi beklentisini karşılamıyor,Olumsuz
ürün güzel harikat,Olumlu
el supurgesinin icinden cikan uzun aparat koltuk icleri icin olan kutudan cikmadi ayrica sarj olurken sadece 2 cizgi gosteriyor 3 cizgi hic dolmuyor coronadan dolayi geri gonderemedim amazzon bana kusurlu mal yolladi,Olumsuz
cok güzel cok memnun kaldım,Olumlu
gerçekten iyi bir makine memnunum tavsiye ederim,Olumlu
dokunmatik ciddi problemli normal bir tabletten sonra tabletin dokunmatiğini kullanmak yorucu,Olumsuz
ürünün lensi gerçekten kötü telefonu çizmeye müsait yi yorumlara aldanarak aldım pişmanım,Olumsuz
i tane aldım üründen kisi 3 aydan fazla dayanmadı bir asla ucuz değil,Olumsuz
ürün ok ups kargo rezil arkadaşlar,Olumsuz
yuvasına oturmuyor sokarken sinirlenip kırıyorsunuz paranızı çöpe atmayın,Olumsuz
kullanılan malzeme göze batmıyor yer problemi olanlar büyük sayılabilir tabi göreceli bir neye göre büyük tartışılır önce arnica nın bir ürününü kullanıyorduk sanırım eşim bir değişiklik istedi yoksa hala çalışıyordu bunu aldık sesi eski arnica göre tasarımı son derece şık kullanımı oldukça pratik başlıkta yazdığım ürün fiyatına göre gayet iyi,Olumlu
koku çekmiyor uzaktan kumandalı,Olumsuz
biraz çalıştıktan sonra kötü bir ses çıkarıyor performansı düşüyor tavsiye etmiyorum,Olumsuz
elime gelen ürün kullanılmış bir üründür çinde kalan su sarıldığı poşete akmış dış kutusu parçalanmış kenarların plastik yüzülmüş tabanında belirgin çizikler var verdiğim para boşa gitti,Olumsuz
ürün plastik kötü paraya değmez bunu tuş sesleri felaket sesli sert maus öle bildiğiniz 20 tllik maus tan farkı yok pişman oldum aldiğima almiş bulundum görerek almak mantıklısı bence,Olumsuz
öncelikle telefonu bir telefon mağazasından aldım telefon kesinlikle kullanımınıza göre cevap veriyor ben batarya konusunda sıkıntı yaşıyorum benden kaynaklı beni tatmin etmiyor telefonu günde 7 saat kullanıyorum 4 saati yoğun 2 saat oyun oynuyorum 2 saat video izliyorum son aylarda kesinlikle şarjım yetmiyor akşam 5 te şarjım 30 iniyor yetmiyor lk 5 ay yoğun kullanmama rağmen bir gün rahat yetiyordu batarya kendini salmış durumda performansda bir düşüş yok nşallah yararlı olmuştur,Olumlu
bende süpürgeyi kullanıyorum onun yuvarlak toz tutacağı var süngerimsi bşy onu ben yıkadıktan sonra kaybettim nereden bulabilirim güzel süpürge,Olumlu
asla asla asla hic tavsiye etmiyorum kotu marka bile ondan iyi filtrelerini yikamaktan bıktık sadece goruntusu havali sakin almayin,Olumsuz
urun sorunsuz ergonomik,Olumlu
ürün 2 yıl dolmadan 2 ekran sararması problemi yaşadım iade etmeyi düşünüyorum bir huawei almam,Olumsuz
olumlu yönleri ürün göründüğü hızlı kargo teşekkürler,Olumlu
ben serinin ilk ürününü aldım hala kullanıyorum tavye ederim oldukça sağlam bir süpürge,Olumlu
ürünü eve geldiği denedim gayet iyi senelerce kullandık kolay kolay bozulacağını zannetmiyorum,Olumlu
ütü cok güzel beğenerek kullanıyoruz düşünmeden satın alabilirsiniz,Olumlu
aile boyu aldığımız bir ürün philips kalitesinden sasmayin emiş gücü ayrica iyi,Olumlu
satın aldıktan 3 ay sonra 4 kullanışımda şarj tutmamaya başladı 8 saat şarj ediyorum 4 5 saniye çalıştıktan sonra duruyor sinbo teknik servise gönderdim bekliyorum not açıklamalarda şarjı yokken bile prizde çalışıyor vardı bende buna istinaden almıştım makineyi fakat böyle bir özelliği yok malesef,Olumsuz
ürün gayet sağlam kullanışlı çekişi fazla yanında verdikleri yer başlığı yere yapışıyor almaya değer,Olumlu
ürün anlatıldığı geldi gayet iyi,Olumlu
fiyata alınabilecek iyi çamaşır makinesi,Olumlu
üüne evet şirket berbat,Olumsuz
harika bir ürün hızlı kargo teşekkürler hepsiburada fiyat iyi kullanışlı tavsiye ederim,Olumlu
kesinlikle tavsiye etmiyorum maşzeme kalibresiz paketleme özensiz üstelik söz verildiği gün teslim edilmedi cok pişman oldum yeminle keşke almasaydık kesinlikle almayın,Olumsuz
yazıkki kurulumunu yapamıyorum teknik destek alamıyorum,Olumsuz
urunun kapagi acik geldi,Olumsuz
açıkçası eşimin istediği ürünün hangisi olduğunu bilmediğim seti aldım ancak kendisi memnun kaldı özellikle mikseri zaten eskimiş yüzden ekstra beğendi diyebilirim tek bir üründe havuç bile rendeleyebiliyoruz doğramadan parçalamaya blender ezmeye kadar hepsini yapabiliyor performans olarak sorun yaşamadık zaten 1000 watt motor gücü var sert sebzeleri bile rahatlıkla doğrayabiliyor beğendik,Olumlu
aldıma pişmanım böyle kötü bir fırın olamaz bir keki bile bir saatte pişiriyor ben yandım sizlar alıpta yanmayın,Olumsuz
ürün kalitesi fiyatıyla kıyaslandığında te fena görünmüyor burada kalitesini güvenirliğini yine ispatladı ürün gayet güzel bir şekilde iyi ambalajlanmış olarak elimize ulaştı siparişten üç gün sonra elimize geçti teşekkürler,Olumlu
başlığı haznesini eşim beğendi uzun zamandır istiyordu ay başında aldık 2 3 gündür mutfakta bunu kullanıyor dar mutfaklara bile tavsiye ederim memnun kaldık,Olumlu
urun guzel tavsiye ederim,Olumlu
i ç kısımda terleme var onun dışında bir problem yok şimdilik,Olumlu
alçak seviyede dinlerken idare eder ancak orta biraz üzeri seviyede midtonlarda cızırtı yapıyor ürünün bilgisayarla olan değil hoparlörlerin birbiriyle olan bağlantı kablosu kısa 29 inch monitörü ancak geçiyor,Olumsuz
gelir gelmez kullandım gerçekten anlatıldığı çıktı ben beğendim bakalım ilerki zamanlarda olur,Olumlu
kırışıklıkları zorlanmadan açıyor kullanımı kolay rahat hafif yormuyor kablosu yeterince uzun pişman olmayacağınız bir ürün,Olumlu
kullandığım usb 2 0 lar bundan kat kat üstün xiaomi note 6 pro dan usb ye aktarım hızı ekteki resimde 1 mb den kötü yarım mb bile değil dosya aktarımı yorar,Olumsuz
olumlu yönleri telefon telefon değil resmen yürüyen teknoloji içind eher var donma kasma sorunu yok mükemmel fotğraf deneyimi sunuyor harika geniş güzel kailteli ekranı var mükemmell biraz pahalı buna deycek bir para oyun deneyii harika 2 günde akpıma geldi hızlı güvenilir adres güvenilir alışveriş hızlı güven veren kargo sayesinde mutlu yüzler,Olumlu
ürünü soğan dogramak icin kullandim kirmizi olan yerden yanik kokusu geliyor simdi korkudan kullanamiyorum bozuk gelmis ürün resmen cok üzüldum,Olumsuz
beklentimizı karşılamadı sesli çalışıyor tavsiye etmem,Olumsuz
instagram uygulaması galerimi algılamıyor fotoğraf atamıyorum hikaye atamıyorum resmen galeri yok lütfen düzelsi,Olumsuz
hediye aldım beğenildi,Olumlu
puana yorumlara bakarak aldım henüz kullanma fırsatımız olmadı hemen yorum yapmak istedim kargo inanılmaz hızlıydı ürün güzel paketlenmişti piyasadaki uygun fiyata sahipti gerçekten memnun kaldık amazzondan fazla alışveriş yapmayı düşünüyorum satıcıya amazzon ekibine teşekkür ederim,Olumlu
berbat görüntü oturmuyor burunu rahatsız ediyor lens ayarları kötü sakın almayin,Olumsuz
gayet başarılı bir ürün,Olumlu
beş para etmez sesi,Olumsuz
ürünün altına ayağı yok onun yerine plastik saçma sapan conta şeklinde bir gönderildi kaymasın görenler kıçı güler,Olumsuz
çeyizim aldım gayet güzel,Olumlu
alalı 1 hafta oldu ilk izlenilerim fotoğraf kalitesi beklentimden iyi incelemelerde düşük ışıkta yetersiz kaldığı belirtiliyordu fakat akşam denemelerinde dahi gayet başarılı çekim yapıyor pili 1 günden uzun dayanıyor ancak orjinal cihazla dahi yaklaşık 3 saatte doluyor şarj cihazı avrupaya uygun yanında adaptörü geliyor ancak birkilte biraz büyük oluyor genel performans oyun performansı gayet başarılı sinyal çekim kalitesi internet bağlantı hızı gayet başarılı önceki telefonuma göre açık ara iyi yanında gelen kılıf geri çıkarması zor olsada gayet iyi koruyucu vazife görüyor,Olumlu
kaliteye göre fiyatı uygun 24 saatte geldi kutulaması başarılı idi teşekkürler burada,Olumlu
ürünü asla tavsiye etmiyorum,Olumsuz
2013 te aldım hala bir sorun yok,Olumlu
hızlı geldi ürün kesinlikle süper,Olumlu
ürün çalışmadı soru sordum müşteri hizmetlerine yönlendirildim onlarda özemediler iade talebi oluşturdum buna rağmen iade kabul etmediler yasal olarak 15 gün içerisinde olursa olsun iade almak zorunda oldukları halde,Olumsuz
ürün p oranı düşük malzeme kalitesiz sürgülü tarafı marka yazan yer uzun ömürlü gözükmüyor,Olumsuz
ekranı iki satın aldım ilk ekranda iki adet ölü piksel vardı bunu iade ettim yenisini sipariş ettim dün elime ulaştı ikinci gelen monitörde bir adet ölü piksel var kötüsü ekran paneli dokunduğunuz an oynuyor ses çıkarıyor boşluğundan dolayı şüphelendim arkasındaki vidaları kontrol ettim bir vida işlem görmüş bariz bir şekilde ikinci gelen ekran beni ciddi derecede rahatsız etti ekran siyahken oluşan bulutlanma inanılmaz itici şimdi ekranı iade edeceğim stokta son kalan aynı ürünü sipariş edeceğim bakalım amazzondan 3 aldığım ürün temi sifir sikintisiz çıkacak zaten yapacağım yorumla sizlerde buna şahit olacaksınız,Olumsuz
